Date,Open,High,Low,Close,Adj Close,Volume
2020-09-15,278.000000,279.100006,274.799988,277.959991,277.959991,8291400
2020-09-16,281.029999,283.605011,278.000000,278.140015,278.140015,9583500
2020-09-17,273.109985,275.899994,272.321014,275.720001,275.720001,8016900
2020-09-18,275.980011,277.269989,270.549988,272.410004,272.410004,11753500
2020-09-21,269.100006,274.220001,266.399994,273.820007,273.820007,9076400
2020-09-22,276.019989,276.320007,270.049988,275.290009,275.290009,9673300
2020-09-23,275.399994,277.829987,271.500000,272.950012,272.950012,7353200
2020-09-24,267.929993,271.250000,267.334015,269.730011,269.730011,9562100
2020-09-25,267.570007,271.809998,264.559998,271.089996,271.089996,11466600
2020-09-28,275.529999,278.839996,274.199005,276.010010,276.010010,8761700
2020-09-29,275.429993,279.299988,274.899994,276.929993,276.929993,7673300
2020-09-30,284.010010,295.000000,283.709991,293.980011,293.980011,24777700
2020-10-01,295.260010,295.589996,288.250000,290.049988,290.049988,16304000
2020-10-02,286.619995,291.979004,286.510010,288.170013,288.170013,11482800
2020-10-05,289.059998,290.000000,284.880005,288.269989,288.269989,17876400
2020-10-06,287.410004,296.839996,286.910004,292.390015,292.390015,15860400
2020-10-07,297.989990,299.510010,292.869995,296.500000,296.500000,16669300
2020-10-08,298.109985,302.299988,295.441010,300.540009,300.540009,15105800
2020-10-09,298.549988,302.609985,297.739990,299.739990,299.739990,11442200
2020-10-12,303.950012,309.640015,301.285004,306.339996,306.339996,14780100
2020-10-13,306.359985,310.010010,303.029999,308.779999,308.779999,10898500
2020-10-14,309.000000,309.959991,300.799988,301.040009,301.040009,15157800
2020-10-15,293.799988,299.863007,292.609985,299.459991,299.459991,9709900
2020-10-16,303.989990,310.000000,302.950012,307.309998,307.309998,12338000
2020-10-19,309.890015,313.809998,303.410004,305.290009,305.290009,14107300
2020-10-20,307.600006,311.799988,307.059998,309.809998,309.809998,8806100
2020-10-21,311.750000,314.000000,307.700012,307.970001,307.970001,11139700
2020-10-22,311.459991,311.850006,304.209991,306.279999,306.279999,8008400
2020-10-23,307.269989,310.329987,304.059998,309.920013,309.920013,6231400
2020-10-26,309.920013,315.459991,303.200012,306.869995,306.869995,9350100
2020-10-27,307.750000,319.320007,305.609985,317.140015,317.140015,13175900
2020-10-28,313.500000,313.500000,306.000000,307.940002,307.940002,13644500
2020-10-29,309.440002,315.579987,308.910004,312.559998,312.559998,11174500
2020-10-30,308.549988,310.829987,300.190002,304.690002,304.690002,14918500
2020-11-02,310.950012,311.440002,305.390015,310.839996,310.839996,11857600
2020-11-03,286.200012,294.279999,280.779999,285.570007,285.570007,58132500
2020-11-04,287.790009,299.170013,285.299988,295.709991,295.709991,28791200
2020-11-05,289.089996,291.250000,279.600006,287.750000,287.750000,50065200
2020-11-06,291.489990,300.890015,289.786011,299.950012,299.950012,25259600
2020-11-09,303.769989,304.000000,290.500000,290.529999,290.529999,22559900
2020-11-10,279.970001,280.000000,264.329987,266.540009,266.540009,61064000
2020-11-11,261.920013,271.920013,261.204987,265.649994,265.649994,41699000
2020-11-12,271.040009,271.200012,263.040009,264.309998,264.309998,27119100
2020-11-13,264.720001,265.440002,257.170013,260.839996,260.839996,33942800
2020-11-16,260.420013,262.570007,257.029999,258.309998,258.309998,20864200
